timestamp,device_id,flow_rate,press_out,press_in,temp_de,temp_nde,vib_rms_de,vib_rms_nde,motor_current,operating_state,alarm_code
2026-09-13T08:00:00Z,PUMP-IS100-80-160-01,100.4,0.312,0.021,45.5,42.9,1.44,1.41,22.67,NORMAL,NONE
2026-09-13T08:00:05Z,PUMP-IS100-80-160-01,99.62,0.313,0.02,44.8,43.1,1.37,1.28,22.37,NORMAL,NONE
2026-09-13T08:00:10Z,PUMP-IS100-80-160-01,99.19,0.313,0.019,44.5,43.5,1.44,1.35,22.18,NORMAL,NONE
2026-09-13T08:00:15Z,PUMP-IS100-80-160-01,99.56,0.312,0.019,45.1,42.8,1.44,1.33,22.92,NORMAL,NONE
2026-09-13T08:00:20Z,PUMP-IS100-80-160-01,99.99,0.309,0.021,44.6,43.1,1.36,1.3,22.54,NORMAL,NONE
2026-09-13T08:00:25Z,PUMP-IS100-80-160-01,100.59,0.312,0.02,44.9,42.5,1.42,1.33,22.74,NORMAL,NONE
2026-09-13T08:00:30Z,PUMP-IS100-80-160-01,100.27,0.308,0.02,44.9,42.8,1.48,1.39,22.71,NORMAL,NONE
2026-09-13T08:00:35Z,PUMP-IS100-80-160-01,99.33,0.311,0.02,45.4,42.8,1.44,1.31,22.23,NORMAL,NONE
2026-09-13T08:00:40Z,PUMP-IS100-80-160-01,100.65,0.315,0.02,45.4,43.1,1.42,1.36,22.85,NORMAL,NONE
2026-09-13T08:00:45Z,PUMP-IS100-80-160-01,99.97,0.316,0.017,45.3,43,1.44,1.35,22.05,NORMAL,NONE
2026-09-13T08:00:50Z,PUMP-IS100-80-160-01,99.82,0.313,0.021,44.8,42.7,1.43,1.39,22.57,NORMAL,NONE
2026-09-13T08:00:55Z,PUMP-IS100-80-160-01,99.58,0.313,0.02,45.3,42.8,1.44,1.33,22.17,NORMAL,NONE
2026-09-13T08:01:00Z,PUMP-IS100-80-160-01,100.24,0.313,0.02,44.9,42.5,1.43,1.34,22.32,NORMAL,NONE
2026-09-13T08:01:05Z,PUMP-IS100-80-160-01,99.87,0.313,0.022,45.1,43.1,1.45,1.27,22.49,NORMAL,NONE
2026-09-13T08:01:10Z,PUMP-IS100-80-160-01,100.05,0.318,0.02,45.1,43,1.4,1.4,22.67,NORMAL,NONE
2026-09-13T08:01:15Z,PUMP-IS100-80-160-01,100.63,0.31,0.021,44.5,43.2,1.55,1.31,22.37,NORMAL,NONE
2026-09-13T08:01:20Z,PUMP-IS100-80-160-01,100.08,0.311,0.018,45,42.6,1.47,1.31,22.85,NORMAL,NONE
2026-09-13T08:01:25Z,PUMP-IS100-80-160-01,99.37,0.311,0.021,44.6,43.1,1.51,1.28,22.54,NORMAL,NONE
2026-09-13T08:01:30Z,PUMP-IS100-80-160-01,100.21,0.314,0.019,44.5,43.2,1.46,1.36,22.58,NORMAL,NONE
2026-09-13T08:01:35Z,PUMP-IS100-80-160-01,99.46,0.313,0.02,44.7,43.6,1.47,1.3,22.65,NORMAL,NONE
2026-09-13T08:01:40Z,PUMP-IS100-80-160-01,99.22,0.314,0.021,44.7,43.3,1.47,1.38,22.93,NORMAL,NONE
2026-09-13T08:01:45Z,PUMP-IS100-80-160-01,99.8,0.31,0.019,44.7,43,1.46,1.36,22.69,NORMAL,NONE
