timestamp,device_id,flow_rate,press_out,press_in,temp_de,temp_nde,vib_rms_de,vib_rms_nde,motor_current,operating_state,alarm_code
2026-09-14 00:00:00,PUMP-IS100-80-160-01,100.13,0.31,0.019,44.8,43.3,1.43,1.38,23.1,NORMAL,NONE
2026-09-14 00:00:05,PUMP-IS100-80-160-01,100.63,0.311,0.019,45.2,42.3,1.4,1.38,22.46,NORMAL,NONE
2026-09-14 00:00:10,PUMP-IS100-80-160-01,100.97,0.311,0.018,44.6,43.0,1.44,1.48,22.38,NORMAL,NONE
2026-09-14 00:00:15,PUMP-IS100-80-160-01,100.03,0.314,0.02,45.2,43.2,1.5,1.27,22.74,NORMAL,NONE
2026-09-14 00:00:20,PUMP-IS100-80-160-01,99.93,0.312,0.019,45.7,42.2,1.53,1.31,22.96,NORMAL,NONE
2026-09-14 00:00:25,PUMP-IS100-80-160-01,100.61,0.314,0.022,45.9,42.8,1.42,1.31,22.78,NORMAL,NONE
2026-09-14 00:00:30,PUMP-IS100-80-160-01,99.35,0.314,0.019,44.6,42.6,1.4,1.26,22.65,NORMAL,NONE
2026-09-14 00:00:35,PUMP-IS100-80-160-01,100.43,0.314,0.019,45.1,43.0,1.49,1.38,22.53,NORMAL,NONE
2026-09-14 00:00:40,PUMP-IS100-80-160-01,99.07,0.312,0.02,44.7,42.9,1.37,1.33,22.65,NORMAL,NONE
2026-09-14 00:00:45,PUMP-IS100-80-160-01,101.04,0.31,0.02,44.6,43.0,1.44,1.4,22.79,NORMAL,NONE
2026-09-14 00:00:50,PUMP-IS100-80-160-01,100.08,0.312,0.022,45.1,43.6,1.35,1.46,22.31,NORMAL,NONE
2026-09-14 00:00:55,PUMP-IS100-80-160-01,99.46,0.312,0.018,45.2,42.8,1.47,1.29,22.43,NORMAL,NONE
2026-09-14 00:01:00,PUMP-IS100-80-160-01,100.05,0.312,0.023,45.2,43.1,1.34,1.37,22.87,NORMAL,NONE
